
Image Name                     PID Session Name        Session#    Mem Usage
audiodg.exe                  32164 Services                   0     22,736 K
smartscreen.exe              13140 Console                    1     24,852 K
svchost.exe                  34280 Services                   0     23,256 K
svchost.exe                   7544 Services                   0     14,124 K
SearchProtocolHost.exe       17556 Console                    1      8,996 K
SearchProtocolHost.exe       20060 Services                   0     15,244 K
cmd.exe                      27176 Console                    1      5,692 K
conhost.exe                  22480 Console                    1     17,544 K
Teams.exe                    28264 Console                    1     64,340 K
SearchFilterHost.exe          4316 Services                   0     10,476 K
tasklist.exe                 27604 Console                    1      9,672 K
